0,1,2,3,4,5,6,google/gemma-7b_correct,google/gemma-7b_choice_A_probs,google/gemma-7b_choice_B_probs,google/gemma-7b_choice_C_probs,google/gemma-7b_choice_D_probs
" A ball is thrown eastward into the air from the origin (in the direction of the positive $x$-axis). The initial velocity is $50 \mathrm{i}+80 \mathrm{k}$, with speed measured in feet per second. The spin of the ball results in a southward acceleration of $4 \mathrm{ft} / \mathrm{s}^2$, so the acceleration vector is $\mathbf{a}=-4 \mathbf{j}-32 \mathbf{k}$. What speed does the ball land?
",$15\sqrt{93}$ $\mathrm{ft}/\mathrm{s}$,$8\sqrt{93}$ $\mathrm{ft}/\mathrm{s}$, $10\sqrt{93}$ $\mathrm{ft}/\mathrm{s}$,$12\sqrt{93}$ $\mathrm{ft}/\mathrm{s}$,C,scibench-calculus,False,0.19099656,0.18200007,0.16384983,0.46315354
" A patient takes $150 \mathrm{mg}$ of a drug at the same time every day. Just before each tablet is taken, 5$\%$ of the drug remains in the body. What quantity of the drug is in the body after the third tablet? ",170 $\mathrm{mg}$,160.5 $\mathrm{mg}$, 157.875 $\mathrm{mg}$,145.5 $\mathrm{mg}$,C,scibench-calculus,False,0.108704634,0.19345015,0.24168752,0.45615765
" If $R$ is the total resistance of three resistors, connected in parallel, with resistances $R_1, R_2, R_3$, then
$$
\frac{1}{R}=\frac{1}{R_1}+\frac{1}{R_2}+\frac{1}{R_3}
$$
If the resistances are measured in ohms as $R_1=25 \Omega$, $R_2=40 \Omega$, and $R_3=50 \Omega$, with a possible error of $0.5 \%$ in each case, estimate the maximum error in the calculated value of $R$.",$\frac{1}{15}$ $\Omega$,$\frac{1}{12}$ $\Omega$, $\frac{1}{17}$ $\Omega$,$\frac{1}{20}$ $\Omega$,C,scibench-calculus,False,0.06741429,0.14902638,0.16845337,0.6151059
" If a ball is thrown into the air with a velocity of $40 \mathrm{ft} / \mathrm{s}$, its height in feet $t$ seconds later is given by $y=40 t-16 t^2$. Find the average velocity for the time period beginning when $t=2$ and lasting 0.5 second.",-28$\mathrm{ft} / \mathrm{s}$,-40$\mathrm{ft} / \mathrm{s}$, -32$\mathrm{ft} / \mathrm{s}$,-36$\mathrm{ft} / \mathrm{s}$,C,scibench-calculus,False,0.113626584,0.10234339,0.15304598,0.630984
A $360-\mathrm{lb}$ gorilla climbs a tree to a height of $20 \mathrm{~ft}$. Find the work done if the gorilla reaches that height in 10 seconds. ,1800$\mathrm{ft-lb}$,3600$\mathrm{ft-lb}$, 7200$\mathrm{ft-lb}$,14400$\mathrm{ft-lb}$,C,scibench-calculus,False,0.10891488,0.11714316,0.101247564,0.6726944
A $360-\mathrm{lb}$ gorilla climbs a tree to a height of $20 \mathrm{~ft}$. Find the work done if the gorilla reaches that height in 5 seconds.,14400 $\mathrm{ft-lb}$,3600 $\mathrm{ft-lb}$, 7200 $\mathrm{ft-lb}$,10800 $\mathrm{ft-lb}$,C,scibench-calculus,False,0.13525431,0.12036744,0.08584702,0.65853125
"A CAT scan produces equally spaced cross-sectional views of a human organ that provide information about the organ otherwise obtained only by surgery. Suppose that a CAT scan of a human liver shows cross-sections spaced $1.5 \mathrm{~cm}$ apart. The liver is $15 \mathrm{~cm}$ long and the cross-sectional areas, in square centimeters, are $0,18,58,79,94,106,117,128,63$, 39 , and 0 . Use the Midpoint Rule to estimate the volume of the liver.
",980 $\mathrm{cm}^3$,1050 $\mathrm{cm}^3$, 1110 $\mathrm{cm}^3$,1200 $\mathrm{cm}^3$,C,scibench-calculus,False,0.2253559,0.31658307,0.17977084,0.27829012
"A ball is thrown at an angle of $45^{\circ}$ to the ground. If the ball lands $90 \mathrm{~m}$ away, what was the initial speed of the ball?
",25 $\mathrm{m}/\mathrm{s}$,35 $\mathrm{m}/\mathrm{s}$, 30 $\mathrm{m}/\mathrm{s}$,40 $\mathrm{m}/\mathrm{s}$,C,scibench-calculus,False,0.13367121,0.25978583,0.17895989,0.4275831
"A boatman wants to cross a canal that is $3 \mathrm{~km}$ wide and wants to land at a point $2 \mathrm{~km}$ upstream from his starting point. The current in the canal flows at $3.5 \mathrm{~km} / \mathrm{h}$ and the speed of his boat is $13 \mathrm{~km} / \mathrm{h}$. How long will the trip take?
",15.8 $\mathrm{min}$,22.9 $\mathrm{min}$, 20.2 $\mathrm{min}$,18.6 $\mathrm{min}$,C,scibench-calculus,False,0.31190318,0.24586384,0.12202568,0.32020727
"A fluid has density $870 \mathrm{~kg} / \mathrm{m}^3$ and flows with velocity $\mathbf{v}=z \mathbf{i}+y^2 \mathbf{j}+x^2 \mathbf{k}$, where $x, y$, and $z$ are measured in meters and the components of $\mathbf{v}$ in meters per second. Find the rate of flow outward through the cylinder $x^2+y^2=4$, $0 \leqslant z \leqslant 1$.
",5 $\mathrm{kg}/\mathrm{s}$,10 $\mathrm{kg}/\mathrm{s}$, 0 $\mathrm{kg}/\mathrm{s}$,20 $\mathrm{kg}/\mathrm{s}$,C,scibench-calculus,False,0.17681672,0.46945354,0.09304089,0.2606889
"A force of $30 \mathrm{~N}$ is required to maintain a spring stretched from its natural length of $12 \mathrm{~cm}$ to a length of $15 \mathrm{~cm}$. How much work is done in stretching the spring from $12 \mathrm{~cm}$ to $20 \mathrm{~cm}$ ?
",4.5 $\mathrm{J}$,5.0 $\mathrm{J}$, 3.2 $\mathrm{J}$,2.8 $\mathrm{J}$,C,scibench-calculus,False,0.19504201,0.38048944,0.19374283,0.23072569
"A hawk flying at $15 \mathrm{~m} / \mathrm{s}$ at an altitude of $180 \mathrm{~m}$ accidentally drops its prey. The parabolic trajectory of the falling prey is described by the equation
$$
y=180-\frac{x^2}{45}
$$
until it hits the ground, where $y$ is its height above the ground and $x$ is the horizontal distance traveled in meters. Calculate the distance traveled by the prey from the time it is dropped until the time it hits the ground. Express your answer correct to the nearest tenth of a meter.",198.7 $\mathrm{m}$,220.5 $\mathrm{m}$, 209.1 $\mathrm{m}$,235.3 $\mathrm{m}$,C,scibench-calculus,False,0.14582813,0.19814381,0.22154176,0.43448636
"A manufacturer of corrugated metal roofing wants to produce panels that are $28 \mathrm{in}$. wide and $2 \mathrm{in}$. thick by processing flat sheets of metal as shown in the figure. The profile of the roofing takes the shape of a sine wave. Verify that the sine curve has equation $y=\sin (\pi x / 7)$ and find the width $w$ of a flat metal sheet that is needed to make a 28-inch panel. (Use your calculator to evaluate the integral correct to four significant digits.)
",28.85 $\mathrm{in}$,27.90 $\mathrm{in}$, 29.36 $\mathrm{in}$,30.62 $\mathrm{in}$,C,scibench-calculus,False,0.18448582,0.40075275,0.17259584,0.24216554
"A model for the surface area of a human body is given by $S=0.1091 w^{0.425} h^{0.725}$, where $w$ is the weight (in pounds), $h$ is the height (in inches), and $S$ is measured in square feet. If the errors in measurement of $w$ and $h$ are at most $2 \%$, use differentials to estimate the maximum percentage error in the calculated surface area.",2.9 $\%$,3.1 $\%$, 2.3 $\%$,1.5 $\%$,C,scibench-calculus,False,0.22539757,0.21549964,0.18603612,0.37306657
"A planning engineer for a new alum plant must present some estimates to his company regarding the capacity of a silo designed to contain bauxite ore until it is processed into alum. The ore resembles pink talcum powder and is poured from a conveyor at the top of the silo. The silo is a cylinder $100 \mathrm{ft}$ high with a radius of $200 \mathrm{ft}$. The conveyor carries ore at a rate of $60,000 \pi \mathrm{~ft}^3 / \mathrm{h}$ and the ore maintains a conical shape whose radius is 1.5 times its height. If, at a certain time $t$, the pile is $60 \mathrm{ft}$ high, how long will it take for the pile to reach the top of the silo?",8.5 $\mathrm{h}$,10.5 $\mathrm{h}$, 9.8 $\mathrm{h}$,11.2 $\mathrm{h}$,C,scibench-calculus,False,0.09767543,0.20816869,0.2562981,0.4378578
A projectile is fired with an initial speed of $200 \mathrm{~m} / \mathrm{s}$ and angle of elevation $60^{\circ}$. Find the speed at impact.,150 $\mathrm{m}/\mathrm{s}$,250 $\mathrm{m}/\mathrm{s}$, 200 $\mathrm{m}/\mathrm{s}$,100 $\mathrm{m}/\mathrm{s}$,C,scibench-calculus,False,0.15658472,0.19415161,0.13057417,0.51868945
A swimming pool is circular with a $40-\mathrm{ft}$ diameter. The depth is constant along east-west lines and increases linearly from $2 \mathrm{ft}$ at the south end to $7 \mathrm{ft}$ at the north end. Find the volume of water in the pool.,$1600\pi$ $\mathrm{ft}^3$,$2200\pi$ $\mathrm{ft}^3$, $1800\pi$ $\mathrm{ft}^3$,$2000\pi$ $\mathrm{ft}^3$,C,scibench-calculus,False,0.111639194,0.15906885,0.1679538,0.5613381
A variable force of $5 x^{-2}$ pounds moves an object along a straight line when it is $x$ feet from the origin. Calculate the work done in moving the object from $x=1 \mathrm{~ft}$ to $x=10 \mathrm{~ft}$.,3.8 $\mathrm{ft-lb}$,6.1 $\mathrm{ft-lb}$, 4.5 $\mathrm{ft-lb}$,5.2 $\mathrm{ft-lb}$,C,scibench-calculus,False,0.15612623,0.27042133,0.20701994,0.3664325
A woman walks due west on the deck of a ship at $3 \mathrm{mi} / \mathrm{h}$. The ship is moving north at a speed of $22 \mathrm{mi} / \mathrm{h}$. Find the speed of the woman relative to the surface of the water.,$\sqrt{529}$ $\mathrm{mi}/\mathrm{h}$,$\sqrt{25}$ $\mathrm{mi}/\mathrm{h}$, $\sqrt{493}$ $\mathrm{mi}/\mathrm{h}$,$\sqrt{441}$ $\mathrm{mi}/\mathrm{h}$,C,scibench-calculus,False,0.15262307,0.043485377,0.10850624,0.6953853
Find the area bounded by the curves $y=\cos x$ and $y=\cos ^2 x$ between $x=0$ and $x=\pi$.,1.5,1, 2,2.5,C,scibench-calculus,False,0.19402702,0.1339114,0.23443443,0.4376271
"Find the area of triangle $A B C$, correct to five decimal places, if
$$
|A B|=10 \mathrm{~cm} \quad|B C|=3 \mathrm{~cm} \quad \angle A B C=107^{\circ}
$$",12.12345 $\mathrm{cm^2}$,16.23564 $\mathrm{cm^2}$, 14.34457 $\mathrm{cm^2}$,15.67890 $\mathrm{cm^2}$,C,scibench-calculus,False,0.26722896,0.20721188,0.20995535,0.31560382
Find the volume of the described solid $S$. The base of $S$ is an elliptical region with boundary curve $9 x^2+4 y^2=36$. Cross-sections perpendicular to the $x$-axis are isosceles right triangles with hypotenuse in the base.,12,36, 24,48,C,scibench-calculus,False,0.21500102,0.13045248,0.20917939,0.44536716
"Find the volume of the described solid S. A tetrahedron with three mutually perpendicular faces and three mutually perpendicular edges with lengths $3 \mathrm{~cm}$, $4 \mathrm{~cm}$, and $5 \mathrm{~cm}$",12 $\mathrm{cm}^3$,15 $\mathrm{cm}^3$, 10 $\mathrm{cm}^3$,20 $\mathrm{cm}^3$,C,scibench-calculus,False,0.40824625,0.2760268,0.11338665,0.20234032
"Find the work done by a force $\mathbf{F}=8 \mathbf{i}-6 \mathbf{j}+9 \mathbf{k}$ that moves an object from the point $(0,10,8)$ to the point $(6,12,20)$ along a straight line. The distance is measured in meters and the force in newtons.",160 $\mathrm{J}$,120 $\mathrm{J}$, 144 $\mathrm{J}$,180 $\mathrm{J}$,C,scibench-calculus,False,0.28327978,0.25204656,0.15907538,0.30559823
"If a ball is thrown into the air with a velocity of $40 \mathrm{ft} / \mathrm{s}$, its height (in feet) after $t$ seconds is given by $y=40 t-16 t^2$. Find the velocity when $t=2$.",-16 $\mathrm{ft} / \mathrm{s}$,-32 $\mathrm{ft} / \mathrm{s}$, -24 $\mathrm{ft} / \mathrm{s}$,8 $\mathrm{ft} / \mathrm{s}$,C,scibench-calculus,False,0.118627,0.27333993,0.12992892,0.4781042
"One model for the spread of an epidemic is that the rate of spread is jointly proportional to the number of infected people and the number of uninfected people. In an isolated town of 5000 inhabitants, 160 people have a disease at the beginning of the week and 1200 have it at the end of the week. How long does it take for $80 \%$ of the population to become infected?",20 $\mathrm{days}$,25 $\mathrm{days}$, 15 $\mathrm{days}$,10 $\mathrm{days}$,C,scibench-calculus,False,0.19456692,0.10647568,0.12654337,0.572414
"Show how to approximate the required work by a Riemann sum. Then express the work as an integral and evaluate it.  A cable that weighs $2 \mathrm{~lb} / \mathrm{ft}$ is used to lift $800 \mathrm{~lb}$ of coal up a mine shaft $500 \mathrm{~ft}$ deep. Find the work done.
",750000 $\mathrm{ft-lb}$,850000 $\mathrm{ft-lb}$, 650000 $\mathrm{ft-lb}$,600000 $\mathrm{ft-lb}$,C,scibench-calculus,False,0.1687186,0.28532326,0.10508476,0.44087338
"Show how to approximate the required work by a Riemann sum. Then express the work as an integral and evaluate it. A leaky 10-kg bucket is lifted from the ground to a height of $12 \mathrm{~m}$ at a constant speed with a rope that weighs $0.8 \mathrm{~kg} / \mathrm{m}$. Initially the bucket contains $36 \mathrm{~kg}$ of water, but the water leaks at a constant rate and finishes draining just as the bucket reaches the 12-m level. How much work is done?
",4000 $\mathrm{J}$,3500 $\mathrm{J}$, 3857 $\mathrm{J}$,4200 $\mathrm{J}$,C,scibench-calculus,False,0.15989776,0.2243902,0.21566886,0.4000432
Suppose that $2 \mathrm{~J}$ of work is needed to stretch a spring from its natural length of $30 \mathrm{~cm}$ to a length of $42 \mathrm{~cm}$. How far beyond its natural length will a force of $30 \mathrm{~N}$ keep the spring stretched?,13.5 $\mathrm{cm}$,16.2 $\mathrm{cm}$, 10.8 $\mathrm{cm}$,20.4 $\mathrm{cm}$,C,scibench-calculus,False,0.43633062,0.18298925,0.183087,0.19759306
The base of a solid is a circular disk with radius 3 . Find the volume of the solid if parallel cross-sections perpendicular to the base are isosceles right triangles with hypotenuse lying along the base.,18,54, 36,72,C,scibench-calculus,False,0.24181521,0.17793101,0.2257201,0.35453364
"The demand function for a commodity is given by
$$
p=2000-0.1 x-0.01 x^2
$$
Find the consumer surplus when the sales level is 100 .",5000 $\$$,6000 $\$$, 7166.67 $\$$,8000 $\$$,C,scibench-calculus,True,0.10281468,0.096319064,0.40195763,0.3989087
"The dye dilution method is used to measure cardiac output with $6 \mathrm{mg}$ of dye. The dye concentrations, in $\mathrm{mg} / \mathrm{L}$, are modeled by $c(t)=20 t e^{-0.6 t}, 0 \leqslant t \leqslant 10$, where $t$ is measured in seconds. Find the cardiac output.",7.2 $\mathrm{L}/\mathrm{min}$,4.8 $\mathrm{L}/\mathrm{min}$, 6.6 $\mathrm{L}/\mathrm{min}$,5.4 $\mathrm{L}/\mathrm{min}$,C,scibench-calculus,False,0.22813396,0.17971861,0.23426497,0.35788247
"The intensity of light with wavelength $\lambda$ traveling through a diffraction grating with $N$ slits at an angle $\theta$ is given by $I(\theta)=N^2 \sin ^2 k / k^2$, where $k=(\pi N d \sin \theta) / \lambda$ and $d$ is the distance between adjacent slits. A helium-neon laser with wavelength $\lambda=632.8 \times 10^{-9} \mathrm{~m}$ is emitting a narrow band of light, given by $-10^{-6}<\theta<10^{-6}$, through a grating with 10,000 slits spaced $10^{-4} \mathrm{~m}$ apart. Use the Midpoint Rule with $n=10$ to estimate the total light intensity $\int_{-10^{-6}}^{10^{-6}} I(\theta) d \theta$ emerging from the grating.",72.3,67.9, 59.4,51.2,C,scibench-calculus,False,0.18262428,0.25265658,0.27019787,0.29452133
"The length and width of a rectangle are measured as $30 \mathrm{~cm}$ and $24 \mathrm{~cm}$, respectively, with an error in measurement of at most $0.1 \mathrm{~cm}$ in each. Use differentials to estimate the maximum error in the calculated area of the rectangle.
",6.2 $\mathrm{cm^2}$,7.5 $\mathrm{cm^2}$, 5.4 $\mathrm{cm^2}$,4.8 $\mathrm{cm^2}$,C,scibench-calculus,False,0.25987437,0.23986822,0.17009205,0.33016533
"The linear density in a rod $8 \mathrm{~m}$ long is $12 / \sqrt{x+1} \mathrm{~kg} / \mathrm{m}$, where $x$ is measured in meters from one end of the rod. Find the average density of the rod.",4 $\mathrm{~kg} / \mathrm{m}$,8 $\mathrm{~kg} / \mathrm{m}$, 6 $\mathrm{~kg} / \mathrm{m}$,10 $\mathrm{~kg} / \mathrm{m}$,C,scibench-calculus,False,0.27161288,0.16246486,0.24583526,0.32008702
"The orbit of Halley's comet, last seen in 1986 and due to return in 2062, is an ellipse with eccentricity 0.97 and one focus at the sun. The length of its major axis is $36.18 \mathrm{AU}$. [An astronomical unit (AU) is the mean distance between the earth and the sun, about 93 million miles.] Find a polar equation for the orbit of Halley's comet. What is the maximum distance from the comet to the sun?",37.86 $\mathrm{AU}$,32.10 $\mathrm{AU}$, 35.64 $\mathrm{AU}$,33.25 $\mathrm{AU}$,C,scibench-calculus,False,0.10882268,0.1294808,0.25053468,0.51116186
The planet Mercury travels in an elliptical orbit with eccentricity 0.206 . Its minimum distance from the sun is $4.6 \times 10^7 \mathrm{~km}$. Find its maximum distance from the sun.,8 $\mathrm{10^7} \mathrm{~km}$,6 $\mathrm{10^7} \mathrm{~km}$, 7 $\mathrm{10^7} \mathrm{~km}$,5 $\mathrm{10^7} \mathrm{~km}$,C,scibench-calculus,False,0.25822976,0.19732207,0.09751769,0.44693053
"The temperature at the point $(x, y, z)$ in a substance with conductivity $K=6.5$ is $u(x, y, z)=2 y^2+2 z^2$. Find the rate of heat flow inward across the cylindrical surface $y^2+z^2=6$, $0 \leqslant x \leqslant 4$",$1560\pi$,$1040\pi$,$1248\pi$,$984\pi$,C,scibench-calculus,False,0.16062109,0.15839654,0.1436682,0.5373142
"Use Poiseuille's Law to calculate the rate of flow in a small human artery where we can take $\eta=0.027, R=0.008 \mathrm{~cm}$, $I=2 \mathrm{~cm}$, and $P=4000$ dynes $/ \mathrm{cm}^2$.",0.89 $\mathrm{10^{-4}} \mathrm{~cm}^3/\mathrm{s}$,1.50 $\mathrm{10^{-4}} \mathrm{~cm}^3/\mathrm{s}$, 1.19 $\mathrm{10^{-4}} \mathrm{~cm}^3/\mathrm{s}$,2.35 $\mathrm{10^{-4}} \mathrm{~cm}^3/\mathrm{s}$,C,scibench-calculus,False,0.16425507,0.26248285,0.17891584,0.3943462
"Use Stokes' Theorem to evaluate $\int_C \mathbf{F} \cdot d \mathbf{r}$, where $\mathbf{F}(x, y, z)=x y \mathbf{i}+y z \mathbf{j}+z x \mathbf{k}$, and $C$ is the triangle with vertices $(1,0,0),(0,1,0)$, and $(0,0,1)$, oriented counterclockwise as viewed from above.
",$\frac{1}{2}$,$-\frac{1}{3}$, $-\frac{1}{2}$,$\frac{1}{4}$,C,scibench-calculus,False,0.27800712,0.15820079,0.22143026,0.34236184
Use differentials to estimate the amount of tin in a closed tin can with diameter $8 \mathrm{~cm}$ and height $12 \mathrm{~cm}$ if the tin is $0.04 \mathrm{~cm}$ thick.,18 $\mathrm{cm^3}$,20 $\mathrm{cm^3}$, 16 $\mathrm{cm^3}$,12 $\mathrm{cm^3}$,C,scibench-calculus,False,0.260169,0.2500456,0.18288982,0.30689564
 Radium-226 has a half-life of 1620 years. Find the time period during which a given amount of this material is reduced by one-quarter.,810 Years,1344.8 Years, 672.4 Year,1620 Years,C,scibench-diff,False,0.29890993,0.1570992,0.24555041,0.29844052
"15. Consider the initial value problem
$$
4 y^{\prime \prime}+12 y^{\prime}+9 y=0, \quad y(0)=1, \quad y^{\prime}(0)=-4 .
$$
Determine where the solution has the value zero.",0.3,0.6, 0.4,0.5,C,scibench-diff,False,0.047382317,0.1173565,0.16308758,0.67217356
"25. Consider the initial value problem
$$
2 y^{\prime \prime}+3 y^{\prime}-2 y=0, \quad y(0)=1, \quad y^{\prime}(0)=-\beta,
$$
where $\beta>0$.
Find the smallest value of $\beta$ for which the solution has no minimum point.",3,4, 2,1,C,scibench-diff,False,0.06441787,0.18829456,0.075054,0.6722336
"28. A mass of $0.25 \mathrm{~kg}$ is dropped from rest in a medium offering a resistance of $0.2|v|$, where $v$ is measured in $\mathrm{m} / \mathrm{s}$.
If the mass is to attain a velocity of no more than $10 \mathrm{~m} / \mathrm{s}$, find the maximum height from which it can be dropped.",12.3 m,10.5 m, 13.45 m,15.2 m,C,scibench-diff,False,0.15011248,0.18902302,0.14748557,0.513379
